id,essential_workplaces_id,ont_category,ont_description,ont_item,naics_code,naics_title,entirely_essential,notes
23,18,Services,"13. Hotels, motels, other shared rental accommodation including student residences, except for seasonal campgrounds and any pools, fitness centres, meeting rooms and other recreational facilities that may be part of the operations of these businesses.",,7213,Rooming and boarding houses,1,
24,19,Services,14. Cheque cashing services.,,5223,Activities related to credit intermediation,1,includes cheque cashing services
25,20,Services to the public that are restricted to alternative methods of sale,"15. Stores that sell any of the following items and provide them to the customer only through an alternative method of sale such as curb side pick-up or delivery, except in exceptional circumstances:",Hardware products.,4441,Building material and supplies dealers,1,includes hardware stores
26,21,Services to the public that are restricted to alternative methods of sale,"15. Stores that sell any of the following items and provide them to the customer only through an alternative method of sale such as curb side pick-up or delivery, except in exceptional circumstances:",Vehicle parts and supplies.,4413,"Automotive parts, accessories and tire stores",1,
27,22,Services to the public that are restricted to alternative methods of sale,"15. Stores that sell any of the following items and provide them to the customer only through an alternative method of sale such as curb side pick-up or delivery, except in exceptional circumstances:",Pet and animal supplies.,4539,Other miscellaneous store retailers,0,includes pet supplies
28,23,Services to the public that are restricted to alternative methods of sale,"15. Stores that sell any of the following items and provide them to the customer only through an alternative method of sale such as curb side pick-up or delivery, except in exceptional circumstances:",Office supplies and computer products including computer repair.,4532,"Office supplies, stationery and gift stores",1,
29,23,Services to the public that are restricted to alternative methods of sale,"15. Stores that sell any of the following items and provide them to the customer only through an alternative method of sale such as curb side pick-up or delivery, except in exceptional circumstances:",Office supplies and computer products including computer repair.,8112,Electronic and precision equipment repair and maintenance,0,includes computer repair
30,24,Services to the public that are restricted to alternative methods of sale,"15. Stores that sell any of the following items and provide them to the customer only through an alternative method of sale such as curb side pick-up or delivery, except in exceptional circumstances:",Safety supplies.,4539,Other miscellaneous store retailers,0,includes safety supplies
31,25,Financial services,16. Businesses that provide the following financial services:,Capital markets and related securities trading and advisory services.,5231,Securities and commodity contracts intermediation and brokerage,1,
32,25,Financial services,16. Businesses that provide the following financial services:,Capital markets and related securities trading and advisory services.,5231,Securities and commodity contracts intermediation and brokerage,1,
33,25,Financial services,16. Businesses that provide the following financial services:,Capital markets and related securities trading and advisory services.,5232,Securities and commodity exchanges,1,
34,25,Financial services,16. Businesses that provide the following financial services:,Capital markets and related securities trading and advisory services.,5239,Other financial investment activities,1,"includes misc. intermediation, portfolio management, and advisory services"
35,25,Financial services,16. Businesses that provide the following financial services:,Capital markets and related securities trading and advisory services.,5269,Other funds and financial vehicles,1,other types of securities
36,26,Financial services,16. Businesses that provide the following financial services:,Banking/credit union activities including credit intermediation.,5221,Depository credit intermediation,1,
37,26,Financial services,16. Businesses that provide the following financial services:,Banking/credit union activities including credit intermediation.,5222,Non-depository credit intermediation,1,
38,26,Financial services,16. Businesses that provide the following financial services:,Banking/credit union activities including credit intermediation.,5223,Activities related to credit intermediation,1,
39,27,Financial services,16. Businesses that provide the following financial services:,Insurance.,5241,Insurance carriers,1,
40,27,Financial services,16. Businesses that provide the following financial services:,Insurance.,5242,"Agencies, brokerages and other insurance related activities",1,
41,28,Financial services,16. Businesses that provide the following financial services:,Land registration services.,5313,Activities Related to Real Estate,1,
42,29,Financial services,16. Businesses that provide the following financial services:,Real estate agent services.,5311,Lessors of Real Estate,1,
43,29,Financial services,16. Businesses that provide the following financial services:,Real estate agent services.,5312,Offices of Real Estate Agents and Brokers,1,
44,29,Financial services,16. Businesses that provide the following financial services:,Real estate agent services.,5313,Activities Related to Real Estate,1,
45,30,Financial services,16. Businesses that provide the following financial services:,Pension and benefits payment services.,5261,Pension funds,1,
46,31,Financial services,16. Businesses that provide the following financial services:,Financial services including payroll and payment processing and accounting and tax services.,5412,"Accounting, tax preparation, bookkeeping, and payroll services",1,
47,31,Financial services,16. Businesses that provide the following financial services:,Financial services including payroll and payment processing and accounting and tax services.,5611,Office administrative services,0,includes business finance services
48,32,Telecommunications and IT infrastructure/service providers,"17. Information Technology (IT) services, including online services, software products and the facilities necessary for their operation and delivery.",,5182,"Data processing, hosting, and related services",1,
49,32,Telecommunications and IT infrastructure/service providers,"17. Information Technology (IT) services, including online services, software products and the facilities necessary for their operation and delivery.",,5415,Computer systems design and related services,1,
50,32,Telecommunications and IT infrastructure/service providers,"17. Information Technology (IT) services, including online services, software products and the facilities necessary for their operation and delivery.",,5614,Business support services,0,includes call centres
51,33,Telecommunications and IT infrastructure/service providers,"18. Telecommunications providers and services (phone, internet, radio, cell phones etc.) and facilities necessary for their operation and delivery.",,5173,Wired and wireless telecommunications carriers(except satellite),1,
52,33,Telecommunications and IT infrastructure/service providers,"18. Telecommunications providers and services (phone, internet, radio, cell phones etc.) and facilities necessary for their operation and delivery.",,5174,"Satellite telecommunications	Satellite telecommunications",1,
53,33,Telecommunications and IT infrastructure/service providers,"18. Telecommunications providers and services (phone, internet, radio, cell phones etc.) and facilities necessary for their operation and delivery.",,5179,Other telecommunications,1,
54,34,Telecommunications and IT infrastructure/service providers,"19. Newspapers, radio and television broadcasting.",,5111,"Newspaper, periodical, book and directory publishers",0,
55,34,Telecommunications and IT infrastructure/service providers,"19. Newspapers, radio and television broadcasting.",,5151,Radio and television broadcasting,1,
56,35,Maintenance,"20. Maintenance, repair and property management services strictly necessary to manage and maintain the safety, security, sanitation and essential operation of institutional, commercial, industrial and residential properties and buildings.",,2382,Building equipment contractors,0,"includes plumbing, electrical, and other contractors"
57,35,Maintenance,"20. Maintenance, repair and property management services strictly necessary to manage and maintain the safety, security, sanitation and essential operation of institutional, commercial, industrial and residential properties and buildings.",,5612,Facilities support service,1,"janitorial; maintenance; trash disposal; guard and security; mail routing and other logistical support; reception; laundry; and related services, to support operations within facilities"
58,35,Maintenance,"20. Maintenance, repair and property management services strictly necessary to manage and maintain the safety, security, sanitation and essential operation of institutional, commercial, industrial and residential properties and buildings.",,5617,Services to buildings and dwellings,0,"includes janitorial & pest control, but also landscaping & carpeting"
59,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4811,Scheduled air transportation,1,
60,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4812,Non-scheduled air transportation,1,
61,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4821,Rail transportation,1,
62,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4831,"Deep sea, coastal and Great Lakes water transportation",1,
63,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4841,General freight trucking,1,
64,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4842,Specialized freight trucking,1,
65,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4851,Urban transit systems,1,
66,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4852,Interurban and rural bus transportation,1,
67,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4853,Taxi and limousine service,1,
68,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4854,School and employee bus transportation,0,tagged as not entirely essential because schools are closed
69,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4855,Charter bus industry,1,
70,36,Transportation services,"21. Businesses and facilities that provide transportation services, including,","transportation services provided by air, water, road, and rail, including taxis and other private transportation providers, and",4859,Other transit and ground passenger transportation,1,
71,37,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators,",4884,Support activities for road transportation,1,
72,37,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators,",4885,Freight transportation arrangement,1,
73,37,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators,",4889,Other support activities for transportation,1,
74,37,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators,",4931,Warehousing and storage,1,
75,38,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, services that support the operations and safety of transportation systems including maintenance and repairs, and",4881,Support activities for air transportation,1,
76,38,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, services that support the operations and safety of transportation systems including maintenance and repairs, and",4882,Support activities for rail transportation,1,
77,38,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, services that support the operations and safety of transportation systems including maintenance and repairs, and",4883,Support activities for water transportation,1,
78,39,Transportation services,"21. Businesses and facilities that provide transportation services, including, logistical support, distribution services, warehousing and storage, truck stops and tow operators","support services for transportation services, including, marinas, but only to the extent that the marina is necessary to enable individuals to access their primary place of residence",,,,
79,40,Transportation services,"22. Businesses that provide and support online retail, including by providing warehousing, storage and distribution of goods that are ordered online.",,4541,Electronic shopping and mail-order houses,1,
80,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3122,Tobacco manufacturing,1,
81,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3131,"Fibre, yarn and thread mills",1,
82,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3132,Fabric mills,1,
83,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3133,Textile and fabric finishing and fabric coating,1,
84,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3141,Textile furnishings mills,1,
85,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3149,Other textile product mills,1,
86,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3151,Clothing knitting mills,1,
87,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3152,Cut and sew clothing manufacturing,1,
88,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3159,Clothing accessories and other clothing manufacturing,1,
89,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3161,Leather and hide tanning and finishing,1,
90,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3162,Footwear manufacturing,1,
91,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3169,Other leather and allied product manufacturing,1,
92,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3211,Sawmills and wood preservation,1,
93,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3212,"Veneer, plywood and engineered wood product manufacturing",1,
94,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3219,Other wood product manufacturing,1,
95,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3221,"Pulp, paper and paperboard mills",1,
96,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3222,Converted paper product manufacturing,1,
97,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3241,Petroleum and coal product manufacturing,1,
98,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3251,Basic chemical manufacturing,1,
99,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3252,"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturin",1,
100,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3253,"Pesticide, fertilizer and other agricultural chemical manufacturing",1,
101,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3254,Pharmaceutical and medicine manufacturing,1,
102,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3255,"Paint, coating and adhesive manufacturing",1,
103,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3256,"Soap, cleaning compound and toilet preparation manufacturing",1,
104,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3259,Other chemical product manufacturing,1,
105,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3261,Plastic product manufacturing,1,
106,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3262,Rubber product manufacturing,1,
107,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3271,Clay product and refractory manufacturing,1,
108,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3272,Glass and glass product manufacturing,1,
109,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3273,Cement and concrete product manufacturing,1,
110,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3274,Lime and gypsum product manufacturing,1,
111,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3279,Other non-metallic mineral product manufacturing,1,
112,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3311,Iron and steel mills and ferro-alloy manufacturing,1,
113,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3312,Steel product manufacturing from purchased steel,1,
114,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3313,Alumina and aluminum production and processing,1,
115,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3314,Non-ferrous metal (except aluminum) production and processing,1,
116,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3315,Foundries,1,
117,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3322,Cutlery and hand tool manufacturing,1,
118,41,Manufacturing,"23. Businesses that extract, manufacture, process and distribute goods, products, equipment and materials, including businesses that manufacture inputs to other manufacturers, (e.g. primary metal/ steel, blow molding, component manufacturers, chemicals, etc. that feed the end-product manufacturer), regardless of whether those other manufacturers are inside or outside of Ontario, together with businesses that support and facilitate the movement of goods within integrated North American and global supply chains.",,3323,Architectural and structural metals manufacturing,1,
